URL,Version,Status,OIDs,Name,Title,Description,Used
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/agrosus-exames-laboratoriais,ValueSet/agrosus-resultados-laboratoriais"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-armazenamento-defensivos,0.1.0,active,,AgroSUSArmazenamentoDefensivosCS,Armazenamento de defensivos agrícolas AgroSUS,"Terminologia dos locais utilizados para armazenamento de defensivos agrícolas.","ValueSet/agrosus-local-armazenamento-defensivos"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-assistencia-tecnica,0.1.0,draft,,AgroSUSAssistenciaTecnicaCS,Assistência Técnica AgroSUS,"Códigos relacionados à assistência e à responsabilidade técnica na produção rural.","ValueSet/agrosus-instituicao-assistencia,ValueSet/agrosus-formacao-responsavel-tecnico"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-avaliacao-boas-praticas,0.1.0,active,,AgroSUSAvaliacaoBoasPraticasCS,Avaliação de boas práticas agrícolas AgroSUS,"Terminologia utilizada para avaliar o atendimento aos indicadores de boas práticas agrícolas no formulário AgroSUS.","ValueSet/agrosus-avaliacao-boas-praticas"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-capacitacao,0.1.0,draft,,AgroSUSCapacitacaoCS,Temas de Capacitação AgroSUS,"Temas abordados em capacitações sobre o uso seguro de defensivos agrícolas.","ValueSet/agrosus-temas-capacitacao"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-categoria-plano-cuidado,0.1.0,active,,AgroSUSCategoriaPlanoCuidadoCS,Categorias de Plano de Cuidado AgroSUS,"Categorias utilizadas para classificar os planos longitudinais de acompanhamento do trabalhador rural.","ValueSet/agrosus-categoria-plano-cuidado"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-classificacao-toxicologica,0.1.0,draft,,AgroSUSClassificacaoToxicologicaCS,Classificação Toxicológica de Defensivos Agrícolas,"Representação FHIR das categorias de classificação toxicológica estabelecidas pela Anvisa.","ValueSet/agrosus-classificacao-toxicologica"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-condicoes-sintomas,0.1.0,active,,AgroSUSCondicoesSintomasCS,Condições de saúde e sintomas AgroSUS,"Terminologia dos itens de condições de saúde e sintomas referidos no formulário de anamnese AgroSUS. Os códigos representam respostas do instrumento e não diagnósticos clínicos confirmados.","ValueSet/agrosus-sintoma-ultimos-30-dias,ValueSet/agrosus-condicao-saude-referida"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-destinacao-embalagens,0.1.0,active,,AgroSUSDestinacaoEmbalagensCS,Destinação de embalagens vazias AgroSUS,"Terminologia das formas de destinação de embalagens vazias de defensivos agrícolas quando não são devolvidas em local autorizado.","ValueSet/agrosus-destinacao-embalagens-nao-devolvidas"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-epi,0.1.0,active,,AgroSUSEPICS,Terminologia de equipamentos de proteção individual AgroSUS,"Terminologia para frequência de uso, armazenamento e motivos de não utilização dos equipamentos de proteção individual.","ValueSet/agrosus-frequencia-uso-epi,ValueSet/agrosus-armazenamento-epi,ValueSet/agrosus-motivo-nao-uso-epi"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-escolaridade,0.1.0,draft,,AgroSUSEscolaridadeCS,Escolaridade AgroSUS,"Categorias de escolaridade utilizadas no formulário de anamnese AgroSUS.","ValueSet/agrosus-escolaridade"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-exposicao,0.1.0,active,,AgroSUSExposicaoCS,Terminologia de exposição ocupacional AgroSUS,"Terminologia das características de frequência e forma de exposição aos defensivos agrícolas.","ValueSet/agrosus-responsavel-aplicacao,ValueSet/agrosus-horas-aplicacao-dia,ValueSet/agrosus-via-exposicao,ValueSet/agrosus-equipamento-aplicacao,ValueSet/agrosus-mes-maior-intensidade,ValueSet/agrosus-dias-aplicacao-mes"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-exposicao-familiar,0.1.0,active,,AgroSUSExposicaoFamiliarCS,Exposição familiar AgroSUS,"Terminologia para identificar familiares que auxiliam na aplicação de defensivos agrícolas.","ValueSet/agrosus-familiares-auxiliam-aplicacao"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-historico-intoxicacao,0.1.0,active,,AgroSUSHistoricoIntoxicacaoCS,Histórico de intoxicação AgroSUS,"Terminologia para registrar a quantidade autorreferida de episódios anteriores de intoxicação aguda por defensivos agrícolas.","ValueSet/agrosus-numero-intoxicacoes-agudas"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-prioridade-alerta,0.1.0,draft,,AgroSUSPrioridadeAlertaCS,Prioridade de Alerta AgroSUS,"Níveis de prioridade clínica para os alertas gerados pela lógica de decisão do AgroSUS (colinesterase alterada, sintoma agudo, produto categoria 1/2 sem EPI, histórico de intoxicação).","ValueSet/agrosus-prioridade-alerta"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-propriedade,0.1.0,draft,,AgroSUSPropriedadeCS,Terminologia da Propriedade Rural AgroSUS,"Códigos utilizados para caracterizar propriedades rurais no formulário AgroSUS.","ValueSet/agrosus-tipo-producao,ValueSet/agrosus-situacao-posse,ValueSet/agrosus-fonte-agua,ValueSet/agrosus-atividade-agricola"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-rastreabilidade,0.1.0,active,,AgroSUSRastreabilidadeCS,Rastreabilidade das aplicações AgroSUS,"Terminologia utilizada para identificar onde são armazenados os registros das aplicações de defensivos agrícolas.","ValueSet/agrosus-armazenamento-registros"
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-tipo-coleta,0.1.0,draft,,AgroSUSTipoColetaCS,Tipos de Coleta AgroSUS,"Modalidades de aplicação do formulário de anamnese ocupacional e ambiental do AgroSUS.","ValueSet/agrosus-tipo-coleta"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRCBO,1.0.0,active,,BRCBO,BRCBO,"","ValueSet/BROcupacao,ValueSet/agrosus-ocupacao-acs,ValueSet/agrosus-ocupacao-profissional-ubs"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRCID10,1.0.0,active,,BRCID10,BRCID10,"","ValueSet/agrosus-intoxicacao-pesticida"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRRacaCor,1.0.0,active,,BRRacaCor,BRRacaCor,"","ValueSet/BRRacaCor"
